keys size 881233
values size 881233
counts size 881233
Initial Setup: 24952 ms
starting
1. |Ġ [c4 a0 ] | 293878415 | 2081 ms | 7574 ms | shortlist: 6873786
2. |Ġthe [c4 a0 74 68 65 ] | 65603622 | 2297 ms | 2819 ms | shortlist: 61364
3. |tion [74 69 6f 6e ] | 38022564 | 1382 ms | 1761 ms | shortlist: 668003
4. |Ġa [c4 a0 61 ] | 31398766 | 890 ms | 1044 ms | shortlist: 307685
5. |in [69 6e ] | 28914807 | 730 ms | 1603 ms | shortlist: 1376237
6. |Ġof [c4 a0 6f 66 ] | 25818144 | 863 ms | 908 ms | shortlist: 19049
7. |er [65 72 ] | 23475275 | 697 ms | 1558 ms | shortlist: 1490629
8. |at [61 74 ] | 22884155 | 884 ms | 1574 ms | shortlist: 1112946
9. |re [72 65 ] | 21888709 | 744 ms | 1257 ms | shortlist: 849617
10. |an [61 6e ] | 20702213 | 645 ms | 1235 ms | shortlist: 1040687
11. |Ġs [c4 a0 73 ] | 19470966 | 677 ms | 968 ms | shortlist: 465878
12. |en [65 6e ] | 18212823 | 575 ms | 1207 ms | shortlist: 1087273
13. |es [65 73 ] | 18124610 | 645 ms | 1208 ms | shortlist: 1024860
14. |al [61 6c ] | 17908278 | 643 ms | 1294 ms | shortlist: 1004307
15. |Ġi [c4 a0 69 ] | 17776852 | 626 ms | 813 ms | shortlist: 261613
16. |Ġt [c4 a0 74 ] | 17691764 | 507 ms | 646 ms | shortlist: 264077
17. |Ġco [c4 a0 63 6f ] | 17253460 | 515 ms | 640 ms | shortlist: 206931
18. |te [74 65 ] | 16812637 | 510 ms | 1068 ms | shortlist: 965682
19. |or [6f 72 ] | 15701565 | 583 ms | 1024 ms | shortlist: 765603
20. |on [6f 6e ] | 15648720 | 630 ms | 1535 ms | shortlist: 1453364
21. |ar [61 72 ] | 14208518 | 684 ms | 1202 ms | shortlist: 794607
22. |nt [6e 74 ] | 14056045 | 622 ms | 1157 ms | shortlist: 822244
23. |ti [74 69 ] | 13639972 | 642 ms | 1680 ms | shortlist: 1474764
24. |nd [6e 64 ] | 13633301 | 715 ms | 1016 ms | shortlist: 408043
25. |Ġp [c4 a0 70 ] | 13412834 | 589 ms | 873 ms | shortlist: 436418
26. |st [73 74 ] | 13181931 | 544 ms | 985 ms | shortlist: 681643
27. |th [74 68 ] | 13064629 | 540 ms | 829 ms | shortlist: 457232
28. |it [69 74 ] | 12994056 | 528 ms | 1018 ms | shortlist: 779922
29. |ed [65 64 ] | 12748999 | 606 ms | 1017 ms | shortlist: 653859
