keys size 105505
values size 105505
counts size 105505
Initial Setup: 2425 ms
starting
1. |Ġ [c4 a0 ] | 30035114 | 279 ms | 742 ms | shortlist: 858979
2. |Ġthe [c4 a0 74 68 65 ] | 8286735 | 188 ms | 229 ms | shortlist: 3378
3. |tion [74 69 6f 6e ] | 4043268 | 63 ms | 101 ms | shortlist: 88654
4. |Ġof [c4 a0 6f 66 ] | 3300812 | 73 ms | 75 ms | shortlist: 1045
5. |Ġand [c4 a0 61 6e 64 ] | 3262209 | 42 ms | 43 ms | shortlist: 717
6. |in [69 6e ] | 2782359 | 38 ms | 151 ms | shortlist: 228318
7. |re [72 65 ] | 2384688 | 94 ms | 153 ms | shortlist: 123799
8. |Ġt [c4 a0 74 ] | 2299618 | 62 ms | 75 ms | shortlist: 28821
9. |Ġa [c4 a0 61 ] | 2171690 | 49 ms | 66 ms | shortlist: 47226
10. |er [65 72 ] | 1910147 | 50 ms | 117 ms | shortlist: 149877
11. |en [65 6e ] | 1824071 | 60 ms | 116 ms | shortlist: 121023
12. |Ġco [c4 a0 63 6f ] | 1782132 | 62 ms | 81 ms | shortlist: 37757
13. |it [69 74 ] | 1622191 | 47 ms | 82 ms | shortlist: 79570
14. |Ġw [c4 a0 77 ] | 1404713 | 58 ms | 64 ms | shortlist: 13165
15. |es [65 73 ] | 1365110 | 38 ms | 97 ms | shortlist: 158470
16. |Ġs [c4 a0 73 ] | 1363207 | 61 ms | 86 ms | shortlist: 64252
17. |or [6f 72 ] | 1320820 | 53 ms | 87 ms | shortlist: 69488
18. |at [61 74 ] | 1291572 | 53 ms | 108 ms | shortlist: 93545
19. |is [69 73 ] | 1281159 | 70 ms | 120 ms | shortlist: 105026
20. |al [61 6c ] | 1279005 | 62 ms | 115 ms | shortlist: 110311
21. |Ġp [c4 a0 70 ] | 1251643 | 62 ms | 86 ms | shortlist: 55276
22. |on [6f 6e ] | 1224984 | 53 ms | 93 ms | shortlist: 86292
23. |an [61 6e ] | 1187642 | 64 ms | 115 ms | shortlist: 121821
24. |Ġin [c4 a0 69 6e ] | 1158876 | 61 ms | 79 ms | shortlist: 39948
25. |ed [65 64 ] | 1137380 | 46 ms | 94 ms | shortlist: 123048
26. |Ġto [c4 a0 74 6f ] | 1111504 | 63 ms | 68 ms | shortlist: 2796
27. |Ġf [c4 a0 66 ] | 980142 | 40 ms | 49 ms | shortlist: 26518
28. |Ġbe [c4 a0 62 65 ] | 957046 | 47 ms | 49 ms | shortlist: 4308
29. |ation [61 74 69 6f 6e ] | 950042 | 41 ms | 71 ms | shortlist: 68057
30. |ic [69 63 ] | 949111 | 55 ms | 87 ms | shortlist: 78523
31. |ou [6f 75 ] | 925779 | 57 ms | 80 ms | shortlist: 53570
32. |ar [61 72 ] | 877629 | 53 ms | 89 ms | shortlist: 87863
33. |ment [6d 65 6e 74 ] | 871122 | 65 ms | 79 ms | shortlist: 27719
34. |Ġthat [c4 a0 74 68 61 74 ] | 856960 | 43 ms | 45 ms | shortlist: 457
35. |ing [69 6e 67 ] | 814643 | 34 ms | 90 ms | shortlist: 146718
36. |Ġdevelop [c4 a0 64 65 76 65 6c 6f 70 ] | 776895 | 60 ms | 62 ms | shortlist: 208
